"Invoice Date","Invoice ID","Invoice Type","Sale Mode","Qty Sold","Sold Price"
01/02/2025,250254,Invoice,Sale,1,$2.69
01/02/2025,250254,Invoice,Sale,1,$7.99
01/02/2025,250254,Invoice,Sale,16,$3.99
01/02/2025,250254,Invoice,,0,$0.00
01/02/2025,250254,Invoice,Sale,1,$18.19
01/02/2025,250254,Invoice,Sale,4,$4.29
01/02/2025,250255,Invoice,Sale,1,$9.49
01/02/2025,250255,Invoice,Sale,1,$8.99
01/02/2025,250255,Invoice,Sale,1,$10.99
01/02/2025,250255,Invoice,Sale,1,$9.99
01/02/2025,250255,Invoice,Sale,1,$45.58
01/02/2025,250255,Invoice,Sale,2,$139.99
01/02/2025,250255,Invoice,Sale,1,$28.57
01/02/2025,250255,Invoice,Sale,4,$3.99
01/02/2025,250256,Invoice,Sale,2,$78.99
01/02/2025,250256,Invoice,Sale,10,$15.99
01/02/2025,250256,Invoice,,0,$0.00
01/02/2025,250257,Invoice,Sale,10,$3.29
01/02/2025,250257,Invoice,Sale,10,$1.89
01/02/2025,250257,Invoice,Sale,4,$1.69
01/02/2025,250257,Invoice,Sale,15,$1.99
01/02/2025,250258,Invoice,Sale,3,$5.39
01/02/2025,250258,Invoice,Sale,3,$1.34
01/02/2025,250258,Invoice,Sale,5,$2.84
01/02/2025,250259,Invoice,Sale,3,$58.99
01/02/2025,250259,Invoice,Sale,2,$8.99
01/02/2025,250259,Invoice,,0,$0.00
01/02/2025,250259,Invoice,,0,$0.00
01/02/2025,250260,Invoice,Sale,1,$28.57
01/02/2025,250260,Invoice,Sale,1,$24.98
01/02/2025,250260,Invoice,,0,$0.00
01/02/2025,250260,Invoice,Sale,2,$43.48
01/02/2025,250260,Invoice,Sale,8,$3.53
01/02/2025,250260,Invoice,,0,$0.00
01/02/2025,250261,Invoice,Sale,32,$2.99
01/02/2025,250261,Invoice,,0,$0.00
01/02/2025,250261,Invoice,,0,$0.00
01/02/2025,250262,Invoice,Sale,4,$4.59
01/02/2025,250262,Invoice,,0,$0.00
01/02/2025,250262,Invoice,,0,$0.00
01/02/2025,250263,Invoice,Sale,6,$2.13
01/02/2025,250264,Invoice,Sale,2,$2.59
01/02/2025,250264,Invoice,,0,$0.00
01/02/2025,250264,Invoice,Sale,10,$2.17
01/02/2025,250265,Invoice,Sale,10,$3.59
01/02/2025,250265,Invoice,Sale,3,$4.39
01/02/2025,250266,Invoice,Sale,2,$74.99
01/02/2025,250266,Invoice,,0,$0.00
01/02/2025,250267,Invoice,Sale,1,$39.99
01/02/2025,250267,Invoice,Sale,5,$12.99
01/02/2025,250267,Invoice,,0,$0.00
01/02/2025,250267,Invoice,Sale,8,$1.90
01/02/2025,250267,Invoice,Sale,1,$99.00
01/02/2025,250267,Invoice,Sale,1,$15.00
01/02/2025,250267,Invoice,Sale,1,$200.00
01/02/2025,250267,Invoice,Sale,1,$130.00
01/02/2025,250267,Invoice,Sale,9,$72.00
01/02/2025,250268,Invoice,Sale,1,$65.99
01/02/2025,250269,Invoice,Sale,24,$0.99
01/02/2025,250269,Invoice,,0,$0.00
01/02/2025,250269,Invoice,Sale,1,$20.38
01/02/2025,250269,Invoice,Sale,2,$24.99
01/02/2025,250269,Invoice,Sale,9,$2.93
